sigma mu omega
-34.343434343434325 375 -14.35839918659764 
-30.303030303030283 375 -12.77235333202165 
-26.26262626262624 375 -11.334005857298763 
-22.2222222222222 375 -10.062950056935097 
-18.18181818181816 375 -8.976288961245313 
-14.141414141414117 375 -8.088582919948427 
-10.101010101010075 375 -7.411783638869547 
-6.060606060606062 375 -6.955148170299904 
-2.0202020202020208 375 -6.725118604475495 
2.0202020202020208 375 -6.725118604475495 
6.060606060606062 375 -6.955148170299904 
10.101010101010104 375 -7.411783638869551 
14.141414141414145 375 -8.08858291994843 
18.181818181818187 375 -8.976288961245324 
22.22222222222223 375 -10.062950056935106 
26.26262626262627 375 -11.334005857298772 
30.30303030303031 375 -12.772353332021659 
34.34343434343435 375 -14.35839918659765 
38.383838383838395 375 -16.070102245551784 
42.424242424242436 375 -17.88300788435881 
46.46464646464648 375 -19.77027580149412 
50.50505050505052 375 -21.702701934492808 
54.54545454545456 375 -23.648734990247217 
58.5858585858586 375 -25.57448780474968 
62.626262626262644 375 -27.443743527009243 
66.66666666666669 375 -29.217956404645765 
70.70707070707073 375 -30.856246706183313 
74.74747474747477 375 -32.31538901381519 
78.78787878787881 375 -33.54979271251605 
82.82828282828285 375 -34.51147290914164 
86.8686868686869 375 -35.15000910096909 
90.90909090909093 375 -35.4124874144078 
94.94949494949498 375 -35.24341960986537 
98.98989898989902 375 -34.58462707370797 
103.03030303030306 375 -33.37506757792785 
107.0707070707071 375 -31.55055735734105 
111.11111111111114 375 -29.04326525641678 
115.15151515151518 375 -25.780507789133342 
119.19191919191923 375 -21.679872805893893 
123.23232323232327 375 -16.660197388214844 
127.27272727272731 375 -10.649500628582663 
131.31313131313135 375 -3.5743865311102736 
135.3535353535354 375 4.640193918187221 
139.39393939393943 375 14.070920756579804 
143.43434343434348 375 24.796083716837465 
147.47474747474752 375 36.89556152719321 
151.51515151515156 375 50.45080180314465 
155.5555555555556 375 65.54480149818083 
159.59595959595964 375 82.26208788319556 
163.63636363636368 375 100.68870002673413 
167.67676767676772 375 120.91217075037075 
171.71717171717177 375 143.02150903543895 
175.7575757575758 375 167.10718285908263 
179.79797979797985 375 193.26110243916648 
183.8383838383839 375 221.57660386902023 
187.87878787878788 375 252.14843312427902 
191.91919191919192 375 285.07273042528067 
195.95959595959596 375 320.4470149395395 
200.0 375 358.370169809829 

-200.0 400 358.370169809829 
-195.95959595959596 400 320.4470149395395 
-191.91919191919192 400 285.07273042528067 
-187.87878787878788 400 252.14843312427902 
-183.83838383838383 400 221.57660386901983 
-179.7979797979798 400 193.2611024391662 
-175.75757575757575 400 167.10718285908223 
-171.7171717171717 400 143.02150903543875 
-167.67676767676767 400 120.91217075037046 
-163.63636363636363 400 100.6887000267338 
-159.59595959595958 400 82.26208788319532 
-155.55555555555554 400 65.54480149818058 
-151.5151515151515 400 50.45080180314438 
-147.47474747474746 400 36.89556152719304 
-143.43434343434342 400 24.796083716837295 
-139.39393939393938 400 14.070920756579657 
-135.35353535353534 400 4.640193918187084 
-131.3131313131313 400 -3.5743865311104073 
-127.27272727272727 400 -10.649500628582699 
-123.23232323232322 400 -16.660314988242334 
-119.19191919191918 400 -21.691055525107217 
-115.15151515151514 400 -25.829980853853666 
-111.1111111111111 400 -29.154529627795235 
-107.07070707070706 400 -31.736880554852114 
-103.03030303030303 400 -33.64540054145642 
-98.98989898989899 400 -34.945228638692925 
-94.94949494949495 400 -35.69859227131149 
-90.9090909090909 400 -35.96500326478811 
-86.86868686868686 400 -35.80138915583603 
-82.82828282828282 400 -35.26218540625574 
-78.78787878787878 400 -34.39940197740829 
-74.74747474747474 400 -33.26267199464245 
-70.7070707070707 400 -31.899287238831125 
-66.66666666666666 400 -30.354223510205454 
-62.626262626262616 400 -28.67015788942209 
-58.585858585858574 400 -26.887479270430823 
-54.54545454545453 400 -25.044293102972976 
-50.50505050505049 400 -23.176420973053578 
-46.46464646464645 400 -21.317395416548756 
-42.42424242424241 400 -19.49845017179138 
-38.383838383838366 400 -17.748505908478645 
-34.343434343434325 400 -16.09415130327764 
-30.303030303030283 400 -14.559619147013079 
-26.26262626262624 400 -13.166756938200681 
-22.2222222222222 400 -11.934991102141785 
-18.18181818181816 400 -10.881283500650811 
-14.141414141414117 400 -10.020078117193377 
-10.101010101010075 400 -9.363234378214266 
-6.060606060606062 400 -8.919940591891471 
-2.0202020202020208 400 -8.6965932374839 
2.0202020202020208 400 -8.6965932374839 
6.060606060606062 400 -8.919940591891471 
10.101010101010104 400 -9.363234378214269 
14.141414141414145 400 -10.020078117193378 
18.181818181818187 400 -10.881283500650818 
22.22222222222223 400 -11.934991102141792 
26.26262626262627 400 -13.166756938200693 
30.30303030303031 400 -14.559619147013091 
34.34343434343435 400 -16.094151303277656 
38.383838383838395 400 -17.748505908478656 
42.424242424242436 400 -19.498450171791397 
46.46464646464648 400 -21.31739541654877 
50.50505050505052 400 -23.176420973053585 
54.54545454545456 400 -25.044293102972983 
58.5858585858586 400 -26.88747927043083 
62.626262626262644 400 -28.6701578894221 
66.66666666666669 400 -30.35422351020547 
70.70707070707073 400 -31.89928723883114 
74.74747474747477 400 -33.26267199464247 
78.78787878787881 400 -34.399401977408296 
82.82828282828285 400 -35.262185406255746 
86.8686868686869 400 -35.80138915583603 
90.90909090909093 400 -35.965003264788116 
94.94949494949498 400 -35.69859227131149 
98.98989898989902 400 -34.945228638692925 
103.03030303030306 400 -33.64540054145642 
107.0707070707071 400 -31.736880554852082 
111.11111111111114 400 -29.154529627795196 
115.15151515151518 400 -25.829980853853606 
119.19191919191923 400 -21.691055525107164 
123.23232323232327 400 -16.660314988242284 
127.27272727272731 400 -10.649500628582663 
131.31313131313135 400 -3.5743865311102736 
135.3535353535354 400 4.640193918187221 
139.39393939393943 400 14.070920756579804 
143.43434343434348 400 24.796083716837465 
147.47474747474752 400 36.89556152719321 
151.51515151515156 400 50.45080180314465 
155.5555555555556 400 65.54480149818083 
159.59595959595964 400 82.26208788319556 
163.63636363636368 400 100.68870002673413 
